"WI-02 House Election Winner","Utah State Aggies vs. New Mexico Lobos","Kilmarnock FC vs. St Mirren FC","Super Bowl LX: First Team To Score","NHL 2025-26 Jack Adams Award","UFC 325: Elekana vs. Tafa","Australian Open Men's: Kai Thompson vs Zangar Nurlanuly","","U19 World Cup: New Zealand Under-19s vs England Under-19s","","","Counter-Strike: ex-RUBY vs Leo Team (BO3) - CCT Europe Series #14 Group Stage","Bitcoin Up or Down - January 30, 10:00AM-10:15AM ET","GBP/USD Up or Down on January 29?","Coinbase (COIN) Up or Down on January 30?","Highest temperature in Seoul on January 31?","What will be the top US Netflix movie this week?"
"WA-10 House Election Winner","Saint Joseph's Hawks vs. Rhode Island Rams (W)","Celtic FC vs. Livingston FC","Super Bowl LX: Gatorade Shower Color","KHL: Shanghai Dragons vs. Avangard Omsk","UFC 325: Mullarkey vs. Salkilld","Australian Open Men's: Hubert Hurkacz vs Zizou Bergs","","Women's T20 World Cup Qualifier: Thailand Women vs USA Women","","","Counter-Strike: AaB esport vs illwill (BO3) - NODWIN Clutch Series Group Stage","Ethereum Up or Down - January 30, 10:00AM-10:15AM ET","EUR/USD Up or Down on January 29?","Opendoor (OPEN) Up or Down on January 30?","Highest temperature in Buenos Aires on January 31?","What will be the #2 global Netflix movie this week?"
"WA-09 House Election Winner","Washington State Cougars vs. Oregon State Beavers","Falkirk FC vs. Dundee FC","NFL MVP","KHL: Dinamo Minsk vs. SKA St. Petersburg","Who will Petr Yan fight next?","Australian Open Men's: Vit Kopriva vs Jan-Lennard Struff","","Women's T20 World Cup Qualifier: Ireland Women vs Netherlands Women","","","LoL: Lupus Esports vs BeFive (BO3) - EBL Regular Season","XRP Up or Down - January 30, 10:00AM-10:15AM ET","Crude Oil (CL) Up or Down on January 30?","NVIDIA (NVDA) closes above ___ on January 30?","Highest temperature in London on January 31?","What will be the top global Netflix movie this week?"
"WA-07 House Election Winner","Davidson Wildcats vs. St. Bonaventure Bonnies (W)","Dundee United FC vs. Aberdeen FC","Will Jeremiyah Love go top 10 in the 2026 NFL draft?","KHL: CSKA Moscow vs. HC Sochi","Who will Merab Dvalishivili fight next?","Australian Open Women's: Laura Siegemund vs Liudmila Samsonova","","Women's T20 World Cup Qualifier: Bangladesh Women vs Scotland Women","","","LoL: Inside Games vs Gity Meavedronu (BO3) - Hitpoint Masters Group Stage","XRP Up or Down - January 31, 10AM ET","Gold (GC) Up or Down on January 30?","Palantir (PLTR) Up or Down on January 30?","Highest temperature in Wellington on January 30?","Measles cases in U.S. by February 28?"
"WA-06 House Election Winner","San Diego Toreros vs. Saint Mary's Gaels","Tottenham Hotspur FC vs. Newcastle United FC - More Markets","","KHL: Lada Togliatti vs. Metallurg Magnitogorsk","Boxing: Lopez vs. Stevenson","Australian Open Men's: Carlos Alcaraz vs Alexander Zverev","","Women's T20 World Cup Qualifier: Scotland Women vs USA Women","","","LoL: SPIKE Syndicate vs Partizan Sangal (BO3) - EBL Regular Season","Solana Up or Down - January 31, 10AM ET","Crude Oil (CL) Up or Down on January 29?","Tesla (TSLA) closes above ___ on January 30?","Highest temperature in Ankara on January 30?","""Iron Lung"" Opening Weekend Box Office"
"WA-05 House Election Winner","Boise State Broncos vs. Nevada Wolf Pack (W)","Everton FC vs. AFC Bournemouth - More Markets","","KHL: Severstal Cherepovets vs. Spartak Moscow","Zuffa Boxing 2: Talley vs. Williams","2026 Men's Wimbledon Winner","","Women's T20 World Cup Qualifier: Bangladesh Women vs Netherlands Women","","","LoL: NightBirds vs eSuba (BO3) - Hitpoint Masters Group Stage","Ethereum Up or Down - January 31, 10AM ET","December 2025 Unemployment Rate - Japan","Netflix (NFLX) Up or Down on January 30?","Highest temperature in Chicago on January 30?","What will be the top US Netflix show this week?"
"WA-04 House Election Winner","North Alabama Lions vs. Central Arkansas Bears","Chelsea FC vs. Leeds United FC - More Markets","","KHL: Salavat Yulaev Ufa vs. Neftekhimik Nizhnekamsk","Zuffa Boxing 2: Gomez vs. Vanhouter","2026 Women's Wimbledon Winner","","WNCL: ACT Meteors vs New South Wales Breakers - More Markets","","","Dota 2: GamerLegion vs Heroic (BO3) - PGL Wallachia: Americas Closed Qualifier Playoffs","Bitcoin Up or Down - January 31, 10AM ET","Silver (SI) Up or Down on January 29?","NYA (NYA) Up or Down on January 30?","Highest temperature in Miami on January 30?","What will be the #2 US Netflix show this week?"
"WA-02 House Election Winner","San Diego State Aztecs vs. Grand Canyon Antelopes (W)","West Ham United FC vs. Manchester United FC - More Markets","","KHL: Sibir Novosibirsk vs. Ak Bars Kazan","Zuffa Boxing 2: Cato-Cain vs. Morales","Will Taylor Fritz win the 2026 Men's US Open?","","Ranji Trophy: Chhattisgarh vs Delhi","","","Counter-Strike: Dark Tigers vs Young TigeRES (BO3) - Exort Series Main Stage","Ethereum Up or Down - January 30, 9:45AM-10:00AM ET","What will Copper (HG) hit__ by end of February?","Meta (META) closes above ___ on January 30?","Highest temperature in Atlanta on January 30?","""Avatar: Fire and Ash"" total domestic gross by January 31? (Lower Strikes)"
"WA-01 House Election Winner","Clemson Tigers vs. Stanford Cardinal","Crystal Palace FC vs. Burnley FC - More Markets","","KHL: Admiral Vladivostok vs. Torpedo","Zuffa Boxing 2: Perez vs. Viloria","","","","","","Counter-Strike: Misa Esports vs Falcons Force (BO3) - Exort Series Main Stage","XRP Up or Down - January 30, 9:45AM-10:00AM ET","Silver (SI) Up or Down on January 30?","Russell 2000 (RUT) Up or Down on January 30?","Highest temperature in Dallas on January 30?","""Shelter"" Opening Weekend Box Office"
"VT-AL House Election Winner","Fresno State Bulldogs vs. San Jose State Spartans (W)","Aston Villa FC vs. Brighton & Hove Albion FC - More Markets","","CEHL: Plzen vs. Sparta Prague","Zuffa Boxing 2: Hackett vs. Cruz","","","","","","Counter-Strike: Pigeons vs HyperSpirit (BO1) - ESEA Advanced Europe Regular Season","Solana Up or Down - January 30, 9:45AM-10:00AM ET","USD - Korean Won exchange rate hits 1,500 by March 31?","NVIDIA (NVDA) Up or Down on January 30?","Highest temperature in NYC on January 30?","Which company has the #3 AI model end of February? (Style Control On)"
"VA-11 House Election Winner","Georgia Tech Yellow Jackets vs. California Golden Bears","Nottingham Forest FC vs. Wolverhampton Wanderers FC - More Markets","","KHL: Amur Khabarovsk vs. Barys Astana","Zuffa Boxing 2: Kalajdzic vs. Gvozdyk","","","","","","Counter-Strike: MUERTA TEAM vs ENRAGE (BO1) - ESEA Advanced Europe Regular Season","Bitcoin Up or Down - January 30, 9:45AM-10:00AM ET","ECB rate hike in 2026?","Hang Seng (HSI) Up or Down on January 30?","Highest temperature in Seattle on January 30?","Which company has the #2 AI model end of February? (Style Control On)"
"VA-09 House Election Winner","New Mexico Lobos vs. Wyoming Cowboys (W)","Manchester City FC vs. Fulham FC - More Markets","","Kings vs. Golden Knights","Zuffa Boxing 2: Bohachuk vs. Butaev","","","","","","Counter-Strike: Bushido Wildcats vs Falcons Force (BO1) - ESEA Advanced Europe Regular Season","XRP Up or Down - January 30, 9:30AM-9:45AM ET","China GDP growth (Y/Y) in Q1 2026?","Google (GOOGL) closes above ___ on January 30?","Highest temperature in Toronto on January 30?","Which company has the #1 AI model end of February? (Style Control On)"
"VA-08 House Election Winner","Texas A&M Aggies vs. Alabama Crimson Tide","Sunderland AFC vs. Liverpool FC - More Markets","","2026 Winter Olympics: Ice Hockey Gold Medal Winner","Zuffa Boxing 2: Valenzuela vs. Torres","","","","","","Counter-Strike: Team PeeP vs HyperSpirit (BO1) - ESEA Advanced Europe Regular Season","Solana Up or Down - January 30, 9:30AM-9:45AM ET","How many jobs added in January?","Tesla (TSLA) Up or Down on January 30?","Highest temperature in Seoul on January 30?","Which company has the third best AI model end of February?"
"VA-06 House Election Winner","Richmond Spiders vs. Saint Louis Billikens (W)","SSC Bari vs. Spezia Calcio","","2026 Winter Olympics: Ice Hockey Silver Medal Winner","","","","","","","Dota 2: Vici Gaming vs Team Nemesis (BO5) - PGL Wallachia: Asia Closed Qualifier Playoffs","Bitcoin Up or Down - January 30, 9:30AM-9:45AM ET","January Unemployment Rate","DAX (DAX) Up or Down on January 30?","Highest temperature in Buenos Aires on January 30?","Which company has the second best AI model end of February?"
"VA-05 House Election Winner","Oklahoma Sooners vs. Kentucky Wildcats","Empoli FC vs. SS Juve Stabia","","2026 Winter Olympics: Ice Hockey Bronze Medal Winner","","","","","","","Valorant: G2 Gozen vs Barça eSports GC (BO3) - VCT Game Changers EMEA Group Stage","Ethereum Up or Down - January 30, 9:30AM-9:45AM ET","ECB Interest Rates: March 2026","Meta (META) Up or Down on January 30?","Highest temperature in London on January 30?","Which company has the best AI model end of February?"
"VA-04 House Election Winner","Charlotte 49ers vs. Tulane Green Wave (W)","US Avellino 1912 vs. Frosinone Calcio","","","","","","","","","Valorant: ALTERNATE aTTaX Ruby vs SK Nebula (BO3) - VCT Game Changers EMEA Group Stage","Solana Up or Down - January 30, 9:15AM-9:30AM ET","January Inflation US - Annual","FTSE 100 (UKX) Up or Down on January 30?","Highest temperature in Ankara on January 29?","Canada's population Up or Down this year?"
"VA-03 House Election Winner","Notre Dame Fighting Irish vs. Louisville Cardinals","FC Südtirol vs. AC Monza","","","","","","","","","Valorant: Twisted Minds Orchid vs ZennIT Orange GC (BO3) - VCT Game Changers EMEA Group Stage","XRP Up or Down - January 30, 9:15AM-9:30AM ET","January Inflation US - Monthly","Amazon (AMZN) closes above ___ on January 30?","Highest temperature in Chicago on January 29?","What will be said during the Grammys?"
"UT-04 House Election Winner","South Florida Bulls vs. East Carolina Pirates (W)","Stoke City FC vs. Oxford United FC","","","","","","","","","Dota 2: Team 9pasha vs Team NS (BO3) - Winline Star Series Playoffs","Bitcoin Up or Down - January 30, 9:15AM-9:30AM ET","US recession by end of 2026?","Google (GOOGL) Up or Down on January 30?","","Number of TSA Passengers February 3?"
"TX-38 House Election Winner","Bucknell Bison vs. American Eagles","Sunderland AFC vs. Liverpool FC","","","","","","","","","Dota 2: Team Rostik999 vs Team Recrent (BO3) - Winline Star Series Playoffs","Ethereum Up or Down - January 30, 9:15AM-9:30AM ET","","Dow Jones (DJI) Up or Down on January 30?","","Number of TSA Passengers February 2?"
"TX-37 House Election Winner","Colgate Raiders vs. Army Black Knights (W)","Manchester City FC vs. Fulham FC","","","","","","","","","Valorant: Pcific Esports vs ULF Esports (BO3) - VCT EMEA Kickoff Playoffs","XRP Up or Down - January 30, 9:00AM-9:15AM ET","","Amazon (AMZN) Up or Down on January 30?","","Will another MrBeast video get 100m+ week 1 views by...?"
"TX-36 House Election Winner","Charlotte 49ers vs. Wichita State Shockers","Millwall FC vs. Birmingham City FC","","","","","","","","","Dota 2: Team Rostikfacekid vs Team Vasilisa (BO3) - Winline Star Series Playoffs","Ethereum Up or Down - January 30, 9:00AM-9:15AM ET","","Nasdaq 100 (NDX) Up or Down on January 30?","","Will Apple release a MacBook with cellular connectivity by June 30?"
"TX-33 House Election Winner","Utah State Aggies vs. Air Force Falcons (W)","Nottingham Forest FC vs. Wolverhampton Wanderers FC","","","","","","","","","Valorant: GIANTX vs Team Heretics (BO3) - VCT EMEA Kickoff Playoffs","Solana Up or Down - January 30, 9:00AM-9:15AM ET","","Microsoft (MSFT) closes above ___ on January 30?","","Will Tesla release Optimus by...?"
"TX-31 House Election Winner","Tulsa Golden Hurricane vs. Florida Atlantic Owls","Sheffield United FC vs. Coventry City FC","","","","","","","","","Dota 2: Team VooDooSh vs Team TPaBoMaH (BO3) - Winline Star Series Playoffs","Bitcoin Up or Down - January 30, 9:00AM-9:15AM ET","","Nikkei 225 (NIK) Up or Down on January 30?","","Ballon d'Or Winner 2026"
"TX-30 House Election Winner","Kansas State Wildcats vs. Arizona Wildcats (W)","Aston Villa FC vs. Brighton & Hove Albion FC","","","","","","","","","Counter-Strike: 33 vs BIG (BO3) - CCT Europe Series #13 Playoffs","XRP Up or Down - January 31, 9AM ET","","Microsoft (MSFT) Up or Down on January 30?","","Will another AI-generated song reach number 1 on any Billboard chart by June 30?"
"TX-29 House Election Winner","North Texas Mean Green vs. Rice Owls","Norwich City FC vs. Sheffield Wednesday FC","","","","","","","","","Counter-Strike: GenOne vs AM Gaming (BO3) - NODWIN Clutch Series Group Stage","Solana Up or Down - January 31, 9AM ET","","S&P 500 (SPX) Up or Down on January 30?","","Where will 2026 rank among the hottest years on record?"
"TX-27 House Election Winner","Oklahoma State Cowboys vs. Arizona State Sun Devils (W)","Crystal Palace FC vs. Burnley FC","","","","","","","","","Counter-Strike: ex-RUBY vs Fingers Crossed (BO3) - NODWIN Clutch Series Group Stage","Ethereum Up or Down - January 31, 9AM ET","","S&P 500 (SPX) Opens Up or Down on January 30?","","Which movie has biggest opening weekend in 2026?"
"TX-26 House Election Winner","UTSA Roadrunners vs. South Florida Bulls","Southampton FC vs. Queens Park Rangers FC","","","","","","","","","Dota 2: strongboys vs  Pipsqueak+4 (BO3) - PGL Wallachia: Western Europe Closed Qualifier Playoffs","Bitcoin Up or Down - January 31, 9AM ET","","Apple (AAPL) closes above ___ on January 30?","","Will Brruno Mars release 'The Romantic' before March?"
"TX-25 House Election Winner","Utah Utes vs. UCF Knights (W)","Middlesbrough FC vs. Leicester City FC","","","","","","","","","Counter-Strike: ARCRED vs Brute (BO3) - NODWIN Clutch Series Group Stage","Solana Up or Down - January 30, 8:45AM-9:00AM ET","","Apple (AAPL) Up or Down on January 30?","","Okbet Arena AI trading competition winner?"
"TX-24 House Election Winner","Duquesne Dukes vs. George Mason Patriots","Blackburn Rovers FC vs. Bristol City FC","","","","","","","","","Dota 2: Amaru Gaming vs Heroic (BO3) - PGL Wallachia: Americas Closed Qualifier Playoffs","Ethereum Up or Down - January 30, 8:45AM-9:00AM ET","","Will Aptiv (APTV) beat quarterly earnings?","","Which company has the third best AI model end of March?"
"TX-23 House Election Winner","Baylor Bears vs. Cincinnati Bearcats (W)","West Bromwich Albion FC vs. Charlton Athletic FC","","","","","","","","","Counter-Strike: Imperial vs Zingaro Gaming (BO3) - FiReCONTER Group A","XRP Up or Down - January 30, 8:45AM-9:00AM ET","","Will Tyson Foods (TSN) beat quarterly earnings?","","Which company has the second best AI model end of March?"
"TX-22 House Election Winner","George Washington Revolutionaries vs. Saint Joseph's Hawks","Hull City AFC vs. Derby County FC","","","","","","","","","Counter-Strike: Fluxo W7M vs OUTPLAYED (BO3) - FiReCONTER Group B","Bitcoin Up or Down - January 30, 8:45AM-9:00AM ET","","Will Grab Holdings (GRAB) beat quarterly earnings?","","Which company has the third best AI model end of January?"
"TX-21 House Election Winner","West Virginia Mountaineers vs. Colorado Buffaloes (W)","Watford FC vs. Ipswich Town FC","","","","","","","","","Counter-Strike: BESTIA vs Isurus (BO3) - FiReCONTER Group C","Bitcoin Up or Down - January 30, 8:30AM-8:45AM ET","","Will Hilton Worldwide (HLT) beat quarterly earnings?","","Which company has the second best AI model end of January?"
"TX-20 House Election Winner","Colorado Buffaloes vs. Baylor Bears","West Ham United FC vs. Manchester United FC","","","","","","","","","Counter-Strike: Sharks vs LUNA Esports (BO3) - FiReCONTER Group D","Ethereum Up or Down - January 30, 8:30AM-8:45AM ET","","Will MGM Resorts (MGM) beat quarterly earnings?","","9.0 or above earthquake before 2027?"
"TX-19 House Election Winner","BYU Cougars vs. Kansas Jayhawks (W)","Swansea City AFC vs. Preston North End FC","","","","","","","","","Counter-Strike: 1WIN vs Fingers Crossed (BO3) - CCT Europe Series #14 Group Stage","XRP Up or Down - January 30, 8:30AM-8:45AM ET","","Will T-Mobile (TMUS) beat quarterly earnings?","","10.0 or above earthquake before 2027?"
"TX-17 House Election Winner","UCF Knights vs. Houston Cougars","Chelsea FC vs. Leeds United FC","","","","","","","","","Counter-Strike: Johnny Speeds vs Ursa (BO3) - CCT Europe Series #14 Group Stage","Solana Up or Down - January 30, 8:30AM-8:45AM ET","","Will Cisco Systems (CSCO) beat quarterly earnings?","","New ""Stranger Things"" episode released by...? "
"TX-16 House Election Winner","Houston Cougars vs. TCU Horned Frogs (W)","Wrexham AFC vs. Portsmouth FC","","","","","","","","","Counter-Strike: Favbet vs SIXSEVEN (BO3) - CCT Europe Series #14 Group Stage","Ethereum Up or Down - January 30, 8:15AM-8:30AM ET","","Will McDonald's (MCD) beat quarterly earnings?","","Price of Dozen Eggs in January"
"TX-14 House Election Winner","BYU Cougars vs. Oklahoma State Cowboys","Everton FC vs. AFC Bournemouth","","","","","","","","","Counter-Strike: Metizport vs FORZE Reload (BO3) - CCT Europe Series #14 Group Stage","XRP Up or Down - January 30, 8:15AM-8:30AM ET","","Will NXP Semiconductors (NXPI) beat quarterly earnings?","","#2 Free App in the US Apple App Store on January 30?"
"TX-13 House Election Winner","Connecticut Huskies vs. DePaul Blue Demons (W)","Tottenham Hotspur FC vs. Newcastle United FC","","","","","","","","","Counter-Strike: Team Nemesis vs Sinners (BO3) - CCT Europe Series #13 Playoffs","Solana Up or Down - January 30, 8:15AM-8:30AM ET","","Will PayPal (PYPL) beat quarterly earnings?","","#1 Free App in the US Apple App Store on January 30?"
"TX-12 House Election Winner","Arizona State Sun Devils vs. Utah Utes","El Masry SC vs. Modern SC","","","","","","","","","Counter-Strike: 1WIN vs illwill (BO3) - CCT Europe Series #13 Playoffs","Bitcoin Up or Down - January 30, 8:15AM-8:30AM ET","","Will Merck & Co Inc (MRK) beat quarterly earnings?","","Will Lana Del Rey release a new album by June 30?"
"TX-11 House Election Winner","Georgetown Hoyas vs. Creighton Bluejays (W)","National Bank of Egypt Club vs. Pharco FC","","","","","","","","","Dota 2: Power Rangers vs L1ga Team (BO3) - PGL Wallachia: Eastern Europe Closed Qualifier Playoffs","Solana Up or Down - January 30, 8:00AM-12:00PM ET","","Robinhood (HOOD) Up or Down on January 29?","","Will Trainwreckstv unbox a AK-47 Case Hardened #661?"
"TX-10 House Election Winner","Army Black Knights vs. Colgate Raiders","Petrojet SC vs. El Ittihad SC El Iskandary","","","","","","","","","Dota 2: Team Yandex vs Power Rangers (BO3) - FISSURE Universe Episode 8 Playoffs","Solana Up or Down - January 30, 8:00AM-8:15AM ET","","Coinbase (COIN) Up or Down on January 29?","","How many Grammys will Kendrick Lamar win?"
"TX-08 House Election Winner","Providence Friars vs. Marquette Golden Eagles (W)","O'Higgins FC vs. CD Concepción","","","","","","","","","Dota 2: BetBoom Team vs Aurora (BO3) - FISSURE Universe Episode 8 Playoffs","XRP Up or Down - January 30, 8:00AM-12:00PM ET","","Opendoor (OPEN) Up or Down on January 29?","","How many Grammys will Lady Gaga win?"
"TX-07 House Election Winner","Northwestern Wildcats vs. Illinois Fighting Illini","Ghazl El Mahalla SC vs. Pyramids FC","","","","","","","","","Dota 2: Team Spirit vs strongboys (BO3) - FISSURE Universe Episode 8 Playoffs","XRP Up or Down - January 30, 8:00AM-8:15AM ET","","NVIDIA (NVDA) closes above ___ on January 29?","","How many Grammys will Bad Bunny win?"
"TX-06 House Election Winner","Villanova Wildcats vs. Butler Bulldogs (W)","Ceramica Cleopatra Club vs. Ismaily SC","","","","","","","","","Honor of Kings: JLY vs WLT Esports Club (BO5) - KPL Growth League Group Stage","Ethereum Up or Down - January 30, 8:00AM-8:15AM ET","","Palantir (PLTR) Up or Down on January 29?","","How many Grammys will Cirkut win?"
"TX-05 House Election Winner","Michigan State Spartans vs. Minnesota Golden Gophers","Cúcuta Deportivo FC vs. CD Tolima","","","","","","","","","Honor of Kings: LT Gaming vs WST (BO5) - KPL Growth League Group Stage","Ethereum Up or Down - January 30, 8:00AM-12:00PM ET","","NYA (NYA) Up or Down on January 29?","","Billboard Hot 100 #1 Song Week of February 7"
"TX-04 House Election Winner","Xavier Musketeers vs. St. John's Red Storm (W)","ZED FC vs. Zamalek SC","","","","","","","","","Honor of Kings: Titan King's Legion vs Xianyou Gaming (BO5) - KPL Growth League Group Stage","Bitcoin Up or Down - January 30, 8:00AM-8:15AM ET","","Tesla (TSLA) closes above ___ on January 29?","","Billboard 200 #1 Album Week of February 7"
"TX-03 House Election Winner","Iowa Hawkeyes vs. Washington Huskies","Haras El Hodood SC vs. ENPPI","","","","","","","","","Honor of Kings: WanZhen Esports Club vs XQG Esports Club (BO5) - KPL Growth League Group Stage","Bitcoin Up or Down - January 30, 8:00AM-12:00PM ET","","Netflix (NFLX) Up or Down on January 29?","","Grammys: Songwriter of the Year Winner"
"TX-02 House Election Winner","Illinois Fighting Illini vs. Oregon Ducks (W)","Real Racing Club vs. CD Mirandés - More Markets","","","","","","","","","Honor of Kings: Mighty Tiger Gaming vs WST (BO5) - KPL Growth League Group Stage","XRP Up or Down - January 31, 8AM ET","","Russell 2000 (RUT) Up or Down on January 29?","","Grammys: Best New Artist Winner"
